gggg,rrr0,llll
gggg,rrr1,llll
gggg,rrr2,llll
gggg,rrr3,llll
gggg,rrr4,llll
gggg,rrr5,llll
gggg,rrr6,llll
gggg,rrr7,llll
gggg,rrr8,llll
gggg,rrr9,llll
gggg,rrr10,llll
gggg,rrr11,llll
gggg,rrr12,llll
gggg,rrr13,llll
gggg,rrr14,llll
gggg,rrr15,llll
gggg,rrr16,llll
gggg,rrr17,llll
gggg,rrr18,llll
gggg,rrr19,llll
gggg,rrr20,llll
gggg,rrr21,llll
gggg,rrr22,llll
gggg,rrr23,llll
gggg,rrr24,llll
gggg,rrr25,llll
gggg,rrr26,llll
gggg,rrr27,llll
gggg,rrr28,llll
gggg,rrr29,llll
gggg,rrr30,llll
gggg,rrr31,llll
gggg,rrr32,llll
gggg,rrr33,llll
gggg,rrr34,llll
gggg,rrr35,llll
gggg,rrr36,llll
gggg,rrr37,llll
gggg,rrr38,llll
gggg,rrr39,llll
gggg,rrr40,llll
gggg,rrr41,llll
gggg,rrr42,llll
gggg,rrr43,llll
gggg,rrr44,llll
gggg,rrr45,llll
gggg,rrr46,llll
gggg,rrr47,llll
gggg,rrr48,llll
gggg,rrr49,llll
gggg,rrr50,llll
gggg,rrr51,llll
gggg,rrr52,llll
gggg,rrr53,llll
gggg,rrr54,llll
gggg,rrr55,llll
gggg,rrr56,llll
gggg,rrr57,llll
gggg,rrr58,llll
gggg,rrr59,llll
gggg,rrr60,llll
gggg,rrr61,llll
gggg,rrr62,llll
gggg,rrr63,llll
gggg,rrr64,llll
gggg,rrr65,llll
gggg,rrr66,llll
gggg,rrr67,llll
gggg,rrr68,llll
gggg,rrr69,llll
gggg,rrr70,llll
gggg,rrr71,llll
gggg,rrr72,llll
gggg,rrr73,llll
gggg,rrr74,llll
gggg,rrr75,llll
gggg,rrr76,llll
gggg,rrr77,llll
gggg,rrr78,llll
gggg,rrr79,llll
gggg,rrr80,llll
gggg,rrr81,llll
gggg,rrr82,llll
gggg,rrr83,llll
gggg,rrr84,llll
gggg,rrr85,llll
gggg,rrr86,llll
gggg,rrr87,llll
gggg,rrr88,llll
gggg,rrr89,llll
gggg,rrr90,llll
gggg,rrr91,llll
gggg,rrr92,llll
gggg,rrr93,llll
gggg,rrr94,llll
gggg,rrr95,llll
gggg,rrr96,llll
gggg,rrr97,llll
gggg,rrr98,llll
gggg,rrr99,llll

